Sample_Name,Description
k7,k7_description
l7,l7_description
m7,m7_description
n7,n7_description
o7,o7_description
p7,p7_description
i8,i8_description
j8,j8_description
k8,k8_description
l8,l8_description
m8,m8_description
n8,n8_description
o8,o8_description
p8,p8_description
i9,i9_description
j9,j9_description
k9,k9_description
l9,l9_description
m9,m9_description
n9,n9_description
o9,o9_description
p9,p9_description
i10,i10_description
j10,j10_description
k10,k10_description
l10,l10_description
m10,m10_description
n10,n10_description
o10,o10_description
p10,p10_description
i11,i11_description
j11,j11_description
k11,k11_description
l11,l11_description
m11,m11_description
n11,n11_description
o11,o11_description
p11,p11_description
i12,i12_description
j12,j12_description
k12,k12_description
l12,l12_description
m12,m12_description
n12,n12_description
o12,o12_description
p12,p12_description
q1,q1_description
r1,r1_description
s1,s1_description
t1,t1_description
u1,u1_description
v1,v1_description
w1,w1_description
x1,x1_description
q2,q2_description
r2,r2_description
s2,s2_description
t2,t2_description
u2,u2_description
v2,v2_description
w2,w2_description
x2,x2_description
q3,q3_description
r3,r3_description
s3,s3_description
t3,t3_description
u3,u3_description
v3,v3_description
w3,w3_description
x3,x3_description
q4,q4_description
r4,r4_description
s4,s4_description
t4,t4_description
u4,u4_description
v4,v4_description
w4,w4_description
x4,x4_description
q5,q5_description
r5,r5_description
s5,s5_description
t5,t5_description
u5,u5_description
v5,v5_description
w5,w5_description
x5,x5_description
q6,q6_description
r6,r6_description
s6,s6_description
t6,t6_description
u6,u6_description
v6,v6_description
w6,w6_description
x6,x6_description
q7,q7_description
r7,r7_description
s7,s7_description
t7,t7_description
u7,u7_description
v7,v7_description
w7,w7_description
x7,x7_description
q8,q8_description
r8,r8_description
s8,s8_description
t8,t8_description
u8,u8_description
v8,v8_description
w8,w8_description
x8,x8_description
q9,q9_description
r9,r9_description
s9,s9_description
t9,t9_description
u9,u9_description
v9,v9_description
w9,w9_description
x9,x9_description
q10,q10_description
r10,r10_description
s10,s10_description
t10,t10_description
u10,u10_description
v10,v10_description
w10,w10_description
x10,x10_description
q11,q11_description
r11,r11_description
s11,s11_description
t11,t11_description
u11,u11_description
v11,v11_description
w11,w11_description
x11,x11_description
q12,q12_description
r12,r12_description
s12,s12_description
t12,t12_description
u12,u12_description
v12,v12_description
w12,w12_description
x12,x12_description
y1,y1_description
z1,z1_description
aa1,aa1_description
ab1,ab1_description
ac1,ac1_description
ad1,ad1_description
ae1,ae1_description
af1,af1_description
y2,y2_description
z2,z2_description
aa2,aa2_description
ab2,ab2_description
ac2,ac2_description
ad2,ad2_description
ae2,ae2_description
af2,af2_description
y3,y3_description
z3,z3_description
aa3,aa3_description
ab3,ab3_description
ac3,ac3_description
ad3,ad3_description
ae3,ae3_description
af3,af3_description
y4,y4_description
z4,z4_description
aa4,aa4_description
ab4,ab4_description
ac4,ac4_description
ad4,ad4_description
ae4,ae4_description
af4,af4_description
y5,y5_description
z5,z5_description
aa5,aa5_description
ab5,ab5_description
ac5,ac5_description
ad5,ad5_description
ae5,ae5_description
af5,af5_description
y6,y6_description
z6,z6_description
aa6,aa6_description
ab6,ab6_description
ac6,ac6_description
ad6,ad6_description
ae6,ae6_description
af6,af6_description
y7,y7_description
z7,z7_description
aa7,aa7_description
ab7,ab7_description
ac7,ac7_description
ad7,ad7_description
ae7,ae7_description
af7,af7_description
y8,y8_description
z8,z8_description
aa8,aa8_description
ab8,ab8_description
ac8,ac8_description
ad8,ad8_description
ae8,ae8_description
af8,af8_description
y9,y9_description
z9,z9_description
aa9,aa9_description
ab9,ab9_description
ac9,ac9_description
ad9,ad9_description
ae9,ae9_description
af9,af9_description
y10,y10_description
z10,z10_description
aa10,aa10_description
ab10,ab10_description
ac10,ac10_description
ad10,ad10_description
ae10,ae10_description
af10,af10_description
y11,y11_description
z11,z11_description
aa11,aa11_description
ab11,ab11_description
ac11,ac11_description
ad11,ad11_description
ae11,ae11_description
af11,af11_description
y12,y12_description
z12,z12_description
aa12,aa12_description
ab12,ab12_description
ac12,ac12_description
ad12,ad12_description
ae12,ae12_description
af12,af12_description
ag1,ag1_description
ag2,ag2_description
ag3,ag3_description
ag4,ag4_description
ag5,ag5_description
ag6,ag6_description
ah1,ah1_description
ah2,ah2_description
ah3,ah3_description
ah4,ah4_description
ah5,ah5_description
ah6,ah6_description
ai1,ai1_description
ai2,ai2_description
ai3,ai3_description
ai4,ai4_description
ai5,ai5_description
ai6,ai6_description
al1,al1_description
al2,al2_description
al3,al3_description
al4,al4_description
al5,al5_description
al6,al6_description
am1,am1_description
am2,am2_description
am3,am3_description
am4,am4_description
am5,am5_description
am6,am6_description
an1,an1_description
an2,an2_description
an3,an3_description
an4,an4_description
an5,an5_description
an6,an6_description
ao1,ao1_description
ao2,ao2_description
ao3,ao3_description
ao4,ao4_description
ao5,ao5_description
ao6,ao6_description
ap1,ap1_description
ap2,ap2_description
ap3,ap3_description
ap4,ap4_description
ap5,ap5_description
ap6,ap6_description
